en,hi
excelsior,अतिउत्तम!
ow,आह!
oh,ओह!
alas,हा!
alas,हाय!
ouch,ऊह!
ouch,उई!
alas,हा-हा!
oh,आह!
okay,ठीक!
well,बिलकुल!
good,अच्छा!
ah,हाँ!
yes,हाँ-हाँ!
boo,छिह!
ugh,धिक्!
reproof,धत्!
out of the way,दुर!
out of the way,हट!
stop it,चुप!
out of the way,भग!
ugh,ऊँहूँ!
all right,ठीक-ठीक!
okay,अच्छा!
well,भला!
sure,अवश्य!
sure,बिलकुल!
sure,जरूर!
indeed,खैर!
very well,अस्तु!
well done,जियो!
hello,हे!
hello,अरे!
hello,अरी!
hello,ऐ!
hello,ए!
hello,ओ!
hello,अजी!
hello,लो!
hello,जी!
hello,अहो!
hello,क्यों!
enough,बस!
watch out,सावधान!
look out,देखो!
adiev,अलविदा!
okay,अभिवादन!
a hoy,अफसोस!
oh!,ओह!
alas,हायराम!
amen,आमीन!
okay,तथास्तु!
really,सचमुच!
stop,ठहरो!
stop,रुको!
ahchoo,आच्छु!
ahem,हुँ!
ahoy,वाही-वाही!
ah,वाह!
ah,अरे!
ah,अच्छा!
ah,ओह!
ah well,अच्छा!
from,से
on,पर
up to,तक
down,नीचे
karake,करके
11,११
12,१२
130,१३०
lobby ,समर्थक-वर्ग
1500,१५००
155,१५५
15,१५
1865,१८६५
186,१८६
189,१८९
1981,१९८१
1998,१९९८
1999,१९९९
1,१
2000,२०००
2001,२००१
2002,२००२
2003,२००३
2004,२००४
20,२०
22,२२
23,२३
24,२४
25,२५
26,२६
29,२९
2,२
35,३५
39,३९
3,३
3rd,तीसरा
400,४००
45,४५
4,४
500,५००
58,५८
5,५
68,६८
71,७१
7,७
7th,७
80,८०
83,८३
98,९८
A1,शानदार
aback,चकित
abacus,गिनतारा
a baker's dozen,तेरह
abandoned,उच्छृंकल
abandon,स्वच्छन्दता
abandon,बेफ़िक्री
abandonment,परित्याग
abasement,अपमान
abashed,शर्मिंदा
abatement,घटाव
abbess ,मठाध्यक्षा
abbey,मठ
abbot,मठाध्यक्ष
abbreviation,संक्षेपण
ABC,वर्णमाला
abdication,राजत्याग
abdomen,पेट
abdomen ,उदर
abdominal,उदरीय
abduction,अपहरण
a bed of roses,आरामदायक
Aberdeen,ऐबरडीन
aberrant,अनैतिक
aberration,पथभ्रष्टता
abeyance,रुकाव
abhorrence,घृणा
abhorrent,घृणास्पद
abhorrent,घृणित
abiding,स्थायी
immaculateness ,शुभ्रता
ability,क्षमता
ability,योग्यता
bird's eye view,विहंगम-दृश्य
a bit,थोड़ा
a bit much,ज़्यादती
a bit of a,कुछ-कुछ
a bit thick,अनुचित
abject,दयनीय
abject,भयानक
abject,नीच
abject,दीन-हीन
abject,नीचतापूर्ण
abjuration,प्रत्याहार
able-bodied,तगड़ा
able,योग्य
able,सक्षम
able,समर्थ
able,निपुण
able,प्रतिभासंपन्न
able,प्रतिभाशाली
ablution,प्रक्षालन
ably,कुशलतापूर्वक
abnegation,आत्मनिषेध
abnormal,ख़राब
abnormal,विकृत
abnormal,असामान्य
abnormal,अस्वाभाविक
abnormality,असामन्यता
aboard,सवार
abode,निवास-स्थान
abolish,हटाना
abolition,उन्मूलन
abolitionist,उन्मूलनवादी
a bolt from the blue,वज्रपात
abominable,घृणित
abominable,ख़राब
Abominable Snowman,हिममानव
abomination,घृणा
aboriginal,आदिवासी
abortion,गर्भपात
abortive,असफल
about,लगभग
about,इधर-उधर
unplayful ,गंभीर
unplayful ,अविनोदप्रिय
about,जहाँ-तहाँ
about,पीछे
about,पास
about,आस-पास
unpolitical ,अराजनैतिक
unbroken ,अजोत
above,ऊपर
above,उपर्युक्त
unpremeditated ,अपूर्वविचारित
unpredictive ,अबविष्यवाची
unpredicted ,अघोषित
unversed ,अनभ्यस्त
unpractised ,अनभ्यस्त
unpracticed ,अनभ्यस्त
above ,उपर्युक्त
above-mentioned,उपर्युक्त
abrasion,खरोंच
abrasion,अपघर्षण
abrasive,अपघर्षक
abrasive,कर्कश
abrasive,खुरदरा
abrasiveness,कर्कशता
abridgement,संक्षेपण
abridgment,संक्षेपण
a bright spark,महानुभाव
abrogation,निरसन
abrupt,एकाएक
abrupt,रूखा
abrupt,असम्बद्ध
abrupt,उखड़ा-उखड़ा
abrupt,आकस्मिक
abrupt,अप्रत्याशित
abruptness,आकस्मिकता
abscess,फोड़ा
abscond,फ़रार
absence,अनुपस्थिति
absence,अभाव
absent,अनुपस्थित
absent,खोया-खोया
absentee,अनुपस्थित
absenteeism,अनुपस्थितता
absent,नहीं
absent,ग़ैरहाज़िर
absent-minded,भुलक्कड़
absent-minded,अनमना
absent-mindedness,भुलक्कड़पन
absent-mindedness,अनमनापन
flabby,कमज़ोर
absolute,पूर्ण
absolute,परम
absolute,पूरा
absolute,सुनिश्चित
absolute,निरंकुश
absolute,निरपेक्ष
absolute,असीम
absolutely,पूर्णतः
absolutely,पूर्णतया
absolutely,एकदम
absolutely,बिल्कुल
absolution,पापक्षमा
absolutism,निरंकुशता
absolutist,निरंकुश
absolutist,निरंकुशतावादी
absorbed,तल्लीन
absorbency,अवशोषकता
absorbent,अवशोषक
absorb,लेना
absorb,सोखना
absorb,अपनाना
absorb,निगलना
absorb,खपाना
absorbing,दिलचस्प
absorption,तल्लीनता
absorption,अवशोषण
abstainer,परहेज़ी
abstemious,संयमी
abstention,परहेज़
abstention,तटस्थ
abstinence,परहेज़
abstract,काल्पनिक
abstracted,अन्यमनस्क
abstract,चुराना
abstract,सामान्य
abstract,अमूर्त
abstract,सारांश
abstraction,अन्यमनस्कता
abstraction,अमूर्तता
abstraction,पृथक्करण
abstract,भाववाचक
abstruse,गूढ़
abstruseness,गहनता
abstruseness,अस्पष्टता
abstrusity,गहराई
absurd,बेढंगा
absurd,हास्यास्पद
absurd,असंगत
absurd,बेतुका
absurdity,बेतुकापन
absurdness,बेतुकापन
abundance,प्रचुरता
abundant,प्रचुर
abundant,बहुत
abuse,दुर्व्यवहार
abuse,दुरुपयोग
abuse,गाली
abuser,दुर्व्यवहारी
abusive,अपमानजनक
abusive,अपशब्दपूर्ण
abysmal,अगाध
abyss,रसातल
abyss,नर्क
acacia,अकेशिया
academic,अकादमिक
academic,शैक्षिक
academic,विद्वान
academic,शिक्षक
academic,अव्यावहारिक
academy,अकादमी
the call of nature,टट्टी
the call of nature,पेशाब
ACAS,ऐकास
acceleration,त्वरण
acceleration,बढ़ोतरी
accelerator,त्वरक
accent,स्वराघात
accent,लहज़ा
accentuation,स्वराघात
acceptable,स्वीकार्य
acceptable,अनुकूल
acceptable,ठीक
acceptable,काफ़ी
acceptable,संतोषजनक
acceptable,योग्य
acceptablility,स्वीकार्यता
acceptably,ठीक-ठाक
acceptance,स्वीकृति
acceptance,अनुमोदन
acceptance,स्वीकरण
accept,मानना
accepted,स्वीकृत
accepted,स्वीकार्य
accepted,वैध
accept, करना
accept,लगना
accept,लेना
accessibility,सुगम्यता
accessibility,उपलब्धता
accessible,सुगम्य
accessible,सुलभ
accessible,अभिगम्य
access,अभिगम्यता
accession,पदग्रहण
accession,राज्यारोहण
accession,अनुवृद्धि
accessory after the fact,अनुषंगी
accessory before the fact,पुरःसंगी
accessory,सहयोगी
accessory,एक्सेसरी
accessory,उपसाधन
achievement,उपलब्धि
acchievement,सफलता
accidental,आकस्मिक
accidentally,अचानक
accident,संयोग
accident,दुर्घटना
accident,इत्तफ़ाक
accident-prone,दुर्घटनाबहुल
acclaim,अनुमोदन
acclaim,वाहवाही
acclaim,प्रशंसा
acclamation,अभिनंदन
acclamation,वाहवाही
acclamation,प्रशंसा
acclimatisation,पर्यनुकूलन
acclimatization,पर्यनुकूलन
acclivitous,आरोही
accolade,पुरस्कार
accommodate,आना
accommodating,समंजनशील
accommodation,सामंजस्य
accommodation,समझौता
accommodation,आवास
accommodation,निवास-स्थान
accommodations,आवास
accommodations,निवास
accompaniment,संगत
accompanist,संगतकार
accompany, जाना
accomplishment,उपलब्धि
accomplishment,निपुणता
accomplishment,समापन
accomplice,सह-अपराधी
accomplished,सुसंस्कृत
accomplished,निपुण
accomplishment,प्रवीणता
accomplishment,कौशल
accomplishment,योग्यता
accomplishment,निष्पत्ति
accordance,अनुरूपता
accord,समझौता
accord,सहमति
accord,मिलना
accord,अभिसंविदा
accord,संधि
accord,इच्छा
accord,स्वेच्छा
accordingly,फलस्वरूप
accordingly,तदनुसार
vehement ,तीव्र
accordion,अकॉर्डियन
accost ,रिझाना
accost,फ़ँसाना
accountability,उत्तरदायित्व
accountable,उत्तरदायी
accountancy,लेखाविधि
accountant,लेखाकार
account,महत्त्व
account for,बताना
account,लेखा
account,समझना
account,विवरण
account,मानना
accounting,लेखा
account ,खाता
accreditation,प्रमाणन
accredited,प्रमाणित
accredited,अधिकृत
accredited,मान्यता-प्राप्त
accretion,संचयन
accretion,अभिवृद्धि
accrue,बढ़ना
accumulation,संचयन
accumulative,संचयी
accuracy,खरापन
accuracy,सत्यता
accurate,परिशुद्ध
accurate,सही
accurate,अचूक
accurate,ठीक
accurately,सही-सही
accursed,गर्हित
accusation,दोषारोपण
accusation,अभियोग
accusative,कर्मकारक
accusatory,अभियोगात्मक
accused,अभियुक्त
accused,दोषी
accuser,अभियोक्ता
accusing,अभियोगात्मक
accustomed,अभ्यस्त
ace,सर्वश्रेष्ठ
ace,इक्का
ace,एस
acerbic,कटु
acerbity,कड़वापन
acetate,ऐसिटेट
acetic,ऐसीटिक
ache,दर्द
achievable,निष्पाद्य
achieve,पाना
achira,सर्वजया
a chink in armour,कमज़ोरी
achromasia,पीलापन
AC,एस्
AC,एसी
acid,तेजाबी
acid,ऐसिड
acid,अम्लीय
acid,व्यंग्यात्मक
acidification,अम्लीकरण
acidity ,अम्लता
acid,अम्ल
acid rain,अम्ल-वर्षा
acid test,अग्नि-परीक्षा
acidulous,अम्लीय
acknowledge,मानना
acknowledgement,पावती
acknowledgement,आभारोक्ति
acknowledgement,अभिस्वीकृति
acknowledgement ,प्रत्युत्तर
acknowledgment,पावती
acknowledgment,आभारोक्ति
acknowledgment,अभिस्वीकृति
acknowledgement,स्वीकृति
a clean sheet,निष्कलंक
a clean slate,निष्कलंक
acme,पराकाष्ठा
acne ,मुहाँसा
acolyte,सहायक
acolyte,पादरी-सेवक
aconite,कालकूट
contradiction in terms,वदतोव्याघात
contradiction in terms,विरुद्धकथन
acorn,बाँजफल
acoustic,ध्वनि-संबंधी
acoustic,ध्वानिकी
acoustic,अविद्युत
acoustics,ध्वानिकी
acoustics,ध्वनिशास्त्र
acquaintance,जानकारी
acquaintance,परिचय
acquainted,परिचित
acquiescence,सहमति
acquiescent,अनुवर्ती
acquisition,प्राप्ति
acquisitive,अभिग्रहणशील
acquisitiveness,अभिग्रहणशीलता
acquittal,रिहाई
acquittal,दोषमुक्ति
acre,एकड़
acrid,तीक्ष्ण
acrid,तीखा
acrimonious,कटुतापूर्ण
acrimony,कड़वाहट
acrobat,कलाबाज़
acrobatics,कलाबाज़ी
across,सामने
across,तरफ़
across ,तिरछा
acrostic,आद्यंताक्षरी
acrylic,ऐक्रिलिक
act, करना
act,अधिनियम
act,नाटक
act,कृत्य
act,प्रदर्शन
act ,ढोंग
act,दिखना
act,कर्म
acting,अभिनय
acting,कार्यकारी
action,कार्रवाई
action,कार्यकलाप
action,क्रिया
action,क्रियाशील
action,कार्य
action,असर
action,घटनाक्रम
action,मुठभेड़
action,कलपुर्ज़ा
action,काम
action,गति
action,क्रियाशीलता
action,प्रक्रिया
action,भिड़ंत
action replay,पुनर्प्रदर्शन
action,एक्शन
activation,सक्रियण
active,सक्रिय
active,क्रियाशील
underage ,नाबालिग
active,कर्तृवाचक
active,फुर्तीला
active,कार्यरत
active,प्रभावकारी
active,प्रभावशाली
active,जागृत
active,तेज़
active,रेडियोधर्मी
active voice,कर्तृवाच्य
ActiveX,ऐक्टिव-एक्स
activism,सक्रियतावाद
activist,सक्रियतावादी
activity,क्रिया
activity,गतिविधि
activity,क्रिया-कलाप
activity,कार्यकलाप
activity,क्रियाशीलता
activity,सक्रियता
actor,अभिनेता
act out, करना
actress,अभिनेत्री
act,अंक
actual,वास्तविक
actual,विद्यमान
actual,वर्तमान
actual,चालू
actual,तथ्यपूर्ण
actual,सही
actualities,वास्तविकता
actuality,वास्तविकता
actually,सचमुच
actuarial,बीमांकिक
actuary,बीमांकक
acuity,तीक्ष्णता
acumen,कुशाग्रता
acupuncture,ऐक्यूपंक्चर
acute anterior poliomyelitis,पोलियो
acute,न्यून
acute,संवेगी
acute,तीक्ष्ण
acute,तेज़
acuteness,तीक्ष्णता
adage,लोकोक्ति
adagio,धीमे-धीमे
adamant,अटल
Adam,आदम
Adam's apple,कंठमणि
adaptability,अनुकूलनशीलता
adaptable,अनुकूलनशील
adaptable,अनुकूलनीय
adaptation,अनुकूलन
adaptation,रूपांतरण
adapt,बदलना
adaptive,अनुकूली
adaptive,अनुकूलनीय
adaptor,अनुकूलक
adaptor,उपायोजक
added,अतिरिक्त
addendum,परिशिष्ट
add,जोड़ना
add,मिलाना
add,देना
add,जुड़ना
addicted,आदी
addict,व्यसनी
addiction,व्यसन
addictive,व्यसनकारी
add in,जोड़ना
additional,अतिरिक्त
addition,जोड़
addition ,जुड़ाई
addition,अनुवृद्धि
addition,वृद्धि
addition,योग
additive,योगज
addled,गड्ड-मड्ड
add on,जोड़ना
add-on,बढ़ोत्तरी
addressee,पानेवाला
address,पता
address,देना
address,शैली
address,लगाना
address,दक्षता
address,भाषण
address,अड्रेस
add to,बढ़ाना
add up to,मिलना
adept,निपुण
adequacy,पर्याप्तता
adequate,पर्याप्त
adequate,काफी
adequate,समुचित
adherent ,आसंजित
adherence,निष्ठा
adherent,अनुयायी
adhesion,चिपकाव
adhesion,समर्थन
adhesive,चिपचिपा
adhesive,चेपदार
ad hoc,तदर्थ
ad hoc,अनौपचारिक
adieu,अल्विदा
adjectival,विशेषणात्मक
adjective,विशेषण
candid,स्पष्टवादी
adjournment,अवकाश
adjudicator,निर्णायक
adjunct ,योजक
adjunct,अनुलग्न
adjustable,समंजनीय
adjustment,समंजन
adjutant,सहायक
ad lib,यथेच्छ
adman,विज्ञापक
admin,प्रशासन
administer,देना
administration,प्रशासन
administration,शासन
administration,व्यवस्था
administrative,प्रशासनिक
administrative,प्रशासकीय
administrator,प्रशासक
administrator,प्रबंधक
admirable,प्रशंसनीय
Nelson ,नेल्सन
admiral,ऐडमिरल
admiralty,नौसेना-विभाग
admiration,प्रशंसा
admiration,सराहना
admirer,प्रशंसक
admiring,प्रशंसापूर्ण
admissibility,स्वीकार्यता
admissible,स्वीकार्य
admission,स्वीकृति
admission,दाखिला
admission,प्रवेश
admittance,प्रवेशाधिकार
admittance,प्रवेश
admonishing,आलोचनात्मक
admonishment,चेतावनी
admonition,चेतावनी
admonitory,आलोचनात्मक
admonitory,चेतावनीपूर्ण
dog's breakfast,खिचड़ी
dog's dinner,खिचड़ी
adolescence,किशोरावस्था
adolescent,किशोर
adopt,अपनाना
adopt,चुनना
adoption,अंगीकरण
adoptive,दत्तक
adoration,आराधना
adoring,प्रेममय
adroitly,दक्षतापूर्वक
adorn,सजाना
adornment,अलंकार
adrenal,अधिवृक्क
adrenalin,ऐड्रिनलिन
adrift,पीछे
adrift,दिशाहीन
adrift,ढीला
adrift,ग़लत
adroit,निपुण
adroitness,दक्षता
adulation,चापलूसी
adulatory,चाटुकीय
adult,प्रौढ़
adult,वयस्क
adulteration,मिलावट
adulterer,परस्त्रीगामी
adulteress,परपुरुषगामिनी
adulterous,व्यभिचारी
adultery,परगमन
adult,बालिग
adulthood,वयस्कता
adumbration,पूर्वाभास
adumbration,रूपरेखा
vulgarism ,घटियापन
advance,प्रयास
advance,अग्रिम
advance,विकास
advance,पूर्व
advance,अग्रगति
advance,प्रगति
advance,मूल्यवृद्धि
advance,पेशगी
advance,बढ़ाना
advance,उन्नति
advance,सुझाव
advance,बढ़ना
advancement,प्रगति
advancement,तरक्क़ी
advantaged,कृपापात्र
advantage,बढ़त
advantage,फ़ायदा
advantage,लाभ
advantage,श्रेष्ठता
advantageous,लाभदायक
advantage,एडवान्टेज
advent,आगमन
adventitious,आनुषंगिक
adventure,जोखिम
adventurer,दुस्साहसी
adventurer,साहसी
adventurous,साहसिक
adventurous,उत्साही
adversary ,प्रतिवादी
adverbial,क्रिया-विशेषणात्मक
adversarial,विरोधात्मक
adversary,विरोधी
adverse,प्रतिकूल
adverse,हानिकर
adversity,कठिनाई
advert,विज्ञापन
advertisement,विज्ञापन
advertizement,विज्ञापन
advertiser,विज्ञापनदाता
advertising,विज्ञापन
advice column,सुझाव-स्तंभ
advice columnist,सुझाव-स्तंभकार
advice,परामर्श
advice,सलाह
advice,सूचना
advice,जानकारी
advisability,उपयुक्तता
advisable,उचित
adviser,सलाहकार
advisor,सलाहकार
advisory,सलाहकारी
advocacy,पक्ष-समर्थन
advocacy,वकालत
advocate,अधिवक्ता
advocate,पक्ष-समर्थक
adze,बसूला
adz,बसूला
aegis,संरक्षण
aeon,युग
aeration,वातन
aerial,एरियल
aerial,हवाई
aerial,आकाशीय
aerobic,वातापेक्षी
aerodrome,हवाई-अड्डा
aerodynamic,वायुगतिकीय
aerodynamics,वायुगतिकी
aerogramme,हवाई-पत्र
aeronautical,वैमानिक
aeronautic,वैमानिक
aeronautics,वैमानिकी
aeroplane ,विमान
aesthete,सौंदर्योपासक
aesthetic,कलात्मक
aesthetic,सुरुचिपूर्ण
aesthetic,सौंदर्य-संबंधी
aestheticism,सौंदर्यवाद
aesthetics,सौंदर्यशास्त्र
a fat lot,बहुत
a feather in <one's> cap,उपलब्द्धि
a few,थोड़्
affability,सौजन्यता
affable,मिलनसार
affable,भद्र
affably,सौजन्यतापूर्वक
affairs,कारोबार
affair,समारोह
affairs,घटनाक्रम
affair,घटना
affairs,कार्य
affair,प्रेम-सम्बन्ध
affair,मामला
intimacy ,प्रेम-संबंध
affair,समस्या
affair,वस्तु
affectation,दिखावा
affectation,ढोंग
affected,दिखावटी
affecting,मर्मस्पर्शी
affecting,मार्मिक
affectionate,स्नेहमय
affection,स्नेह
affidavit,शपथ-पत्र
affiliate,संबद्ध
affiliation,संबंध
affinity,आकर्षण
affinity,संबंध
affirmation,अभिपुष्टि
affirmation,प्रतिज्ञापन
affirmative,सकारात्मक
affirmative,स्वीकारोक्ति
affirmative,हाँ
affix,प्रत्यय
affix,लगाना
affliction,दुःख
affliction,पीड़ा
affluence,अमीरी
affluent,समृद्ध
affluent,सुसंपन्न
affluent,अमीर
afford,देना
afford,लेना
afforestation,वनरोपण
affray,दंगा
affronted,अपमानित
Afghan,अफ़गानी
afghan,अफ़गान
aficionado,भक्त
aflame,लाल
A,ए
angstrom,ऐंग्स्ट्रम
afloat,ऋणमुक्त
fly in the ointment,असुविधा
afoot,गतिमान
aforementioned,उपर्युक्त
aforesaid,उपर्युक्त
a fortiori,निश्चयपूर्वक
afraid,शक
afraid,भयभीत
afraid,चिंतित
afraid,त्रस्त
afraid,खेद
African,अफ़्रीकी
Africa,अफ़्रीका
Afrikaner,अफ़्रिकैनी
Afro,ऐफ़्रो
after all,आख़िरकार
after all,आख़िर
afterbirth,जेर
after,पीछे
aftermath,परिणाम
aftershave,आफ़्टरशेव
afterthought,अनुबोध
afterwards,तत्पश्चात
again,पुनः
again,दोबारा
against nature,अनैतिक
agate,अकीक
agate,गोमेद
aged,बूढा
age,युग
age,उम्र
age,बुढ़ापा
age,आयु
ageing,बुढ़ापा
ageless,अनंतकालीन
ageless,चिरयुवा
age-long,चिरकालीन
agency,माध्यम
agency,अभिकरण
agency,संस्था
agency,एजेन्सी
agenda,कार्यसूची
agent,कारण
agent,अभिकर्ता
agent,गुप्तचर
agent,पदार्थ
agent provocateur,दुरुत्साहक
agent,कारक
age of consent,विवाहवय
age-old,प्राचीन
agglomeration,ढेर
aggrandisement,विवर्धन
aggrandizement,विवर्धन
aggravation,बिगाड़
aggravation,क्षोभ
aggregate,जोड़ना
aggregate,कुल
aggregation,एकत्रीकरण
aggression,आक्रमण
aggression,प्रचंडता
aggressive,आक्रामक
aggressive,लड़ाका
aggressiveness,आक्रामकता
aggressiveness,झगड़ालूपन
aggressiveness,कलहप्रियता
aggressor,आक्रमणकारी
aggressor,आकारमक
aggrieved,अपकृत
aggrieved,खिन्न
aggro,आक्रामकता
aggro,कठिनाई
aghast,हक्काबक्का
aghast,भौँचक्का
aghast,भयाक्रांत
agile,फुर्तीला
agility,फुर्ती
aging,बुढ़ापा
agitated,उत्तेजित
agitate,हिलाना
agitation,आंदोलन
agitation,उत्तेजना
agitator,आंदोलनकर्ता
aglow,प्रदीप्त
agnostic,अज्ञेयवादी
agog,उत्सुक
ago,पहले
agonised,संतप्त
agonist,नायक
agonized,संतप्त
agony aunt,सुझाव-स्तंभकार
agony column,सुझाव-स्तंभ
agony,कष्ट
a good deal ,बहुत
a good deal of,बहुत
a good job,सौभाग्य
a good samaratian,दयावान
agrarian,कृषि-संबंधी
a great deal,अक्सर
a great deal of,अत्यधिक
a great variety of,विविधतापूर्ण
agreeable,सुखद
agreeable,सहमत
agreement,अनुबंध
agreement,सहमति
agreement,क़रारनामा
agreement,समझौता
agreement,समानता
agreement,अन्वय
agreed upon,अनुबंधगत
agribusiness,कृषि-उद्योग
agriculturalist,किसान
agriculture,कृषि
agriculture,कृषि-उद्योग
agronomy,कृषि-विज्ञान
aground,भूग्रस्त
ahead,पहले
ahead,आगे
ahead of time,पहले
helping hand,मदद
aid,मदद
aba,अबा
aide-de-camp,परिसहायक
aide,सहायक
aid,सहायता
aid,साधन
AIDS,एड्स
ailing,अस्वस्थ
ailment,बीमारी
aim,निशाना
aim,लगाना
aim,उद्देश्य
aimless,निरुद्देश्य
aimlessly,लक्ष्यहीनतापूर्वक
aimlessness,निरुद्देश्यता
aim, करना
air,सूखना
air,हवाई
air-bed,वायु-गद्दा
airborne,विमानवाहित
airborne,वायुवाहित
Airbus,हवाई-बस
air-conditioned,वातानुकूलित
air-conditioner,वातानुकूलक
air-conditioning,वातानुकूलक
air-cooled,वायु-शीतलित
aircraft-carrier,वायुयान-वाहक
air-force,वायु-सेना
air,हाव-भाव
air,वायुमण्डल
airs ,नखरा
air,सुखाना
air,वातावरण
air,बताना
air,हवा
air,चाल-ढाल
air,वायु
air,वात
airing,वातन
unairworthy ,उड़न-योग्यताहीन
airplane ,विमान
airlock,वायुबन्ध
airman ,वायु-सैनिक
air rifle,हवाई-बन्दूक
airs and graces,नाज़ो-अंदाज़
airship,वायुपोत
air speed,विमान-गति
airtight,वायुरूद्ध
respiratory tract,वायुमार्ग
air wave ,रेडियो-तरंग
airway,वायुमार्ग
airworthiness,उड़ान-योग्यता
airworthy,उड़ान-योग्य
airy-fairy,अस्पष्ट
airy,हवादार
airy,लापरवाह
airy,रमणीय
airy,अव्यावहारिक
aisle,गलियारा
aisle,पार्श्व-भाग
jack of all trades,हरफ़नमौला
ajar,अधखुला
aka,उर्फ़
a kind of,शायद
kinda ,थोड़ा
akin,समान
alabaster,सेलखड़ी
alabaster,गोरा
a la carte,अलग-अलग
alacrity,तत्परता
a la mode,प्रचलित
alarmed,भयभीत
alarming,ख़तरनाक
alarmist ,भय-प्रसारक
albatross,ऐल्बेट्रॉस
albatross,बोझ
albeit,यद्यपि
albino ,रंजकहीन
albumen,सफ़ेदी
album,एलबम
alchemist ,कीमियागर
alchemy,ऐल्केमी
alchemy ,रसायनशास्त्र
alcohol,अल्कोहल
alcoholic,मादक
alcoholic ,मद्यव्यसनी
alcohol,मद्य
alcohol ,अल्कोहल
alcoholism,पियक्कड़पन
alcove,आला
alder,आल्डर
alehouse,मयखाना
ale,एल
alert,चौकस
alert,सतर्क
alert,चेतावनी
alerting,चेतावनी
alertness ,सतर्कता
alfalfa,गरारी
algae,शैवाल
algal,शैवालीय
algebraic,बीजगणितीय
algebra,बीजगणित
alias,उर्फ़
alibi,अन्यत्रता
alibi,बहाना
alienation,परकीकरण
alien,प्रतिकूल
alien,विदेशी
alien,अन्यदेशीय
alien,अनजाना
alight,उतरना
alignment ,एकरेखन
alignment,सम्मिलन
a likely story,प्रायः
alimentary canal,अन्ननाल
alimony,संभरण
alive,जीवित
alive,सक्रीय
alive,सतर्क
alive,अस्तितवान्
alive,प्रफुल्ल
alkali,क्षार
alkaline,क्षारीय
alkaline,क्षारयुक्त
alkaloid,क्षारोद
all,सभी
Allah,अल्लाह
all along,हमेशा
all,पूरा
all-around,चौतरफा
all-around,सामान्य
all at once,अचानक
all but,लगभग
all by herself,अकेले
all by himself,अकेले
all by myself,अकेला
all by yourself,अकेले
all by yourselves,अकेले
allegation,आरोप
allegation,शिकायत
alleged,कथित
allegiance,निष्ठा
allegorical,रूपकात्मक
allegro,द्रुत
alleluia ,ईश-वंदना
alleluia,ईश-स्तुति
all-embracing ,परिव्यापक
all,केवल
allergic,ऐलर्जी
allergic,प्रत्यूर्ज
allergy,एलर्जी
alleviation,राहत
alleviative ,प्रशामक
alleviatory ,प्रशामक
alley,गली
all-fired,इतना
alliance,समझौता
alliance ,संबंध
